trip_id,arrival_time,departure_time,stop_id,stop_sequence,station,ligne
1125335561078872,06:30:00,06:30:00,2155,15,chatelet,1
1125335571078872,06:50:00,06:50:00,2155,15,chatelet,1
11325335431078872,15:13:00,15:13:00,2155,15,chatelet,1
11325335441078872,15:13:00,15:13:00,2155,15,chatelet,1
11325335451078872,15:23:00,15:23:00,2155,15,chatelet,1
11325335461078872,10:46:00,10:46:00,2155,15,chatelet,1
11325335481078872,10:03:00,10:03:00,2155,15,chatelet,1
11325335491078872,10:08:00,10:08:00,2155,15,chatelet,1
11325335501078872,09:48:00,09:48:00,2155,15,chatelet,1
11325335511078872,14:21:00,14:21:00,2155,15,chatelet,1
11325335521078872,09:54:00,09:54:00,2155,15,chatelet,1
11325335531078872,10:46:00,10:46:00,2155,15,chatelet,1
11325335551078872,10:03:00,10:03:00,2155,15,chatelet,1
11325335561078872,10:08:00,10:08:00,2155,15,chatelet,1
11325335571078872,14:02:00,14:02:00,2155,15,chatelet,1
11425335431078872,15:17:00,15:17:00,2155,15,chatelet,1
11425335441078872,15:17:00,15:17:00,2155,15,chatelet,1
11425335451078872,15:27:00,15:27:00,2155,15,chatelet,1
11425335461078872,10:50:00,10:50:00,2155,15,chatelet,1
11425335481078872,10:04:00,10:04:00,2155,15,chatelet,1
11425335491078872,10:10:00,10:10:00,2155,15,chatelet,1
11425335501078872,09:49:00,09:49:00,2155,15,chatelet,1
11425335511078872,14:25:00,14:25:00,2155,15,chatelet,1
11425335521078872,09:56:00,09:56:00,2155,15,chatelet,1
11425335531078872,10:50:00,10:50:00,2155,15,chatelet,1
11425335551078872,10:04:00,10:04:00,2155,15,chatelet,1
11425335561078872,10:10:00,10:10:00,2155,15,chatelet,1
11425335571078872,14:05:00,14:05:00,2155,15,chatelet,1
11525335431078872,15:21:00,15:21:00,2155,15,chatelet,1
11525335441078872,15:21:00,15:21:00,2155,15,chatelet,1
11525335451078872,15:31:00,15:31:00,2155,15,chatelet,1
11525335461078872,10:54:00,10:54:00,2155,15,chatelet,1
11525335481078872,10:06:00,10:06:00,2155,15,chatelet,1
11525335491078872,10:11:00,10:11:00,2155,15,chatelet,1
11525335501078872,09:51:00,09:51:00,2155,15,chatelet,1
11525335511078872,14:28:00,14:28:00,2155,15,chatelet,1
11525335521078872,09:58:00,09:58:00,2155,15,chatelet,1
11525335531078872,10:54:00,10:54:00,2155,15,chatelet,1
11525335551078872,10:06:00,10:06:00,2155,15,chatelet,1
11525335561078872,10:11:00,10:11:00,2155,15,chatelet,1
11525335571078872,14:08:00,14:08:00,2155,15,chatelet,1
11625335431078872,15:25:00,15:25:00,2155,15,chatelet,1
11625335441078872,15:25:00,15:25:00,2155,15,chatelet,1
11625335451078872,15:35:00,15:35:00,2155,15,chatelet,1
11625335461078872,10:57:00,10:57:00,2155,15,chatelet,1
11625335481078872,10:08:00,10:08:00,2155,15,chatelet,1
11625335491078872,10:13:00,10:13:00,2155,15,chatelet,1
11625335501078872,09:53:00,09:53:00,2155,15,chatelet,1
11625335511078872,14:31:00,14:31:00,2155,15,chatelet,1
11625335521078872,09:59:00,09:59:00,2155,15,chatelet,1
11625335531078872,10:57:00,10:57:00,2155,15,chatelet,1
11625335551078872,10:08:00,10:08:00,2155,15,chatelet,1
11625335561078872,10:13:00,10:13:00,2155,15,chatelet,1
11625335571078872,14:11:00,14:11:00,2155,15,chatelet,1
11725335431078872,15:28:00,15:28:00,2155,15,chatelet,1
11725335441078872,15:28:00,15:28:00,2155,15,chatelet,1
11725335451078872,15:39:00,15:39:00,2155,15,chatelet,1
11725335461078872,11:01:00,11:01:00,2155,15,chatelet,1
11725335481078872,10:10:00,10:10:00,2155,15,chatelet,1
11725335491078872,10:15:00,10:15:00,2155,15,chatelet,1
11725335501078872,09:54:00,09:54:00,2155,15,chatelet,1
11725335511078872,14:34:00,14:34:00,2155,15,chatelet,1
11725335521078872,10:01:00,10:01:00,2155,15,chatelet,1
11725335531078872,11:01:00,11:01:00,2155,15,chatelet,1
11725335551078872,10:10:00,10:10:00,2155,15,chatelet,1
11725335561078872,10:15:00,10:15:00,2155,15,chatelet,1
11725335571078872,14:14:00,14:14:00,2155,15,chatelet,1
11825335431078872,15:31:00,15:31:00,2155,15,chatelet,1
11825335441078872,15:31:00,15:31:00,2155,15,chatelet,1
11825335451078872,15:43:00,15:43:00,2155,15,chatelet,1
11825335461078872,11:05:00,11:05:00,2155,15,chatelet,1
11825335481078872,10:11:00,10:11:00,2155,15,chatelet,1
11825335491078872,10:18:00,10:18:00,2155,15,chatelet,1
11825335501078872,09:56:00,09:56:00,2155,15,chatelet,1
11825335511078872,14:37:00,14:37:00,2155,15,chatelet,1
11825335521078872,10:03:00,10:03:00,2155,15,chatelet,1
11825335531078872,11:05:00,11:05:00,2155,15,chatelet,1
11825335551078872,10:11:00,10:11:00,2155,15,chatelet,1
11825335561078872,10:18:00,10:18:00,2155,15,chatelet,1
11825335571078872,14:17:00,14:17:00,2155,15,chatelet,1
11925335431078872,15:35:00,15:35:00,2155,15,chatelet,1
11925335441078872,15:35:00,15:35:00,2155,15,chatelet,1
11925335451078872,15:47:00,15:47:00,2155,15,chatelet,1
11925335461078872,11:08:00,11:08:00,2155,15,chatelet,1
11925335481078872,10:13:00,10:13:00,2155,15,chatelet,1
11925335491078872,10:20:00,10:20:00,2155,15,chatelet,1
11925335501078872,09:57:00,09:57:00,2155,15,chatelet,1
11925335511078872,14:40:00,14:40:00,2155,15,chatelet,1
11925335521078872,10:04:00,10:04:00,2155,15,chatelet,1
11925335531078872,11:08:00,11:08:00,2155,15,chatelet,1
11925335551078872,10:13:00,10:13:00,2155,15,chatelet,1
11925335561078872,10:20:00,10:20:00,2155,15,chatelet,1
11925335571078872,14:20:00,14:20:00,2155,15,chatelet,1
12025335431078872,15:38:00,15:38:00,2155,15,chatelet,1
12025335441078872,15:38:00,15:38:00,2155,15,chatelet,1
12025335451078872,15:51:00,15:51:00,2155,15,chatelet,1
12025335461078872,11:12:00,11:12:00,2155,15,chatelet,1
12025335481078872,10:15:00,10:15:00,2155,15,chatelet,1
12025335491078872,10:23:00,10:23:00,2155,15,chatelet,1
12025335501078872,09:59:00,09:59:00,2155,15,chatelet,1
12025335511078872,14:43:00,14:43:00,2155,15,chatelet,1
12025335521078872,10:06:00,10:06:00,2155,15,chatelet,1
12025335531078872,11:12:00,11:12:00,2155,15,chatelet,1
12025335551078872,10:15:00,10:15:00,2155,15,chatelet,1
12025335561078872,10:23:00,10:23:00,2155,15,chatelet,1
12025335571078872,14:23:00,14:23:00,2155,15,chatelet,1
12125335431078872,15:42:00,15:42:00,2155,15,chatelet,1
12125335441078872,15:42:00,15:42:00,2155,15,chatelet,1
12125335451078872,15:55:00,15:55:00,2155,15,chatelet,1
12125335461078872,11:16:00,11:16:00,2155,15,chatelet,1
12125335481078872,10:17:00,10:17:00,2155,15,chatelet,1
12125335491078872,10:25:00,10:25:00,2155,15,chatelet,1
12125335501078872,10:00:00,10:00:00,2155,15,chatelet,1
12125335511078872,14:46:00,14:46:00,2155,15,chatelet,1
12125335521078872,10:08:00,10:08:00,2155,15,chatelet,1
12125335531078872,11:16:00,11:16:00,2155,15,chatelet,1
12125335551078872,10:17:00,10:17:00,2155,15,chatelet,1
12125335561078872,10:25:00,10:25:00,2155,15,chatelet,1
12125335571078872,14:26:00,14:26:00,2155,15,chatelet,1
12225335431078872,15:45:00,15:45:00,2155,15,chatelet,1
12225335441078872,15:45:00,15:45:00,2155,15,chatelet,1
12225335451078872,15:59:00,15:59:00,2155,15,chatelet,1
12225335461078872,11:19:00,11:19:00,2155,15,chatelet,1
12225335481078872,10:18:00,10:18:00,2155,15,chatelet,1
12225335491078872,10:27:00,10:27:00,2155,15,chatelet,1
12225335501078872,10:02:00,10:02:00,2155,15,chatelet,1
12225335511078872,14:49:00,14:49:00,2155,15,chatelet,1
12225335521078872,10:09:00,10:09:00,2155,15,chatelet,1
12225335531078872,11:19:00,11:19:00,2155,15,chatelet,1
12225335551078872,10:18:00,10:18:00,2155,15,chatelet,1
12225335561078872,10:27:00,10:27:00,2155,15,chatelet,1
12225335571078872,14:29:00,14:29:00,2155,15,chatelet,1
1225335431078872,06:56:00,06:56:00,2155,15,chatelet,1
1225335441078872,06:56:00,06:56:00,2155,15,chatelet,1
1225335451078872,06:56:00,06:56:00,2155,15,chatelet,1
1225335461078872,06:34:00,06:34:00,2155,15,chatelet,1
1225335481078872,06:34:00,06:34:00,2155,15,chatelet,1
1225335491078872,06:34:00,06:34:00,2155,15,chatelet,1
1225335501078872,06:34:00,06:34:00,2155,15,chatelet,1
1225335511078872,06:56:00,06:56:00,2155,15,chatelet,1
1225335521078872,06:34:00,06:34:00,2155,15,chatelet,1
1225335531078872,06:34:00,06:34:00,2155,15,chatelet,1
1225335551078872,06:34:00,06:34:00,2155,15,chatelet,1
1225335561078872,06:34:00,06:34:00,2155,15,chatelet,1
1225335571078872,06:56:00,06:56:00,2155,15,chatelet,1
12325335431078872,15:48:00,15:48:00,2155,15,chatelet,1
12325335441078872,15:48:00,15:48:00,2155,15,chatelet,1
12325335451078872,16:03:00,16:03:00,2155,15,chatelet,1
12325335461078872,11:23:00,11:23:00,2155,15,chatelet,1
12325335481078872,10:20:00,10:20:00,2155,15,chatelet,1
12325335491078872,10:31:00,10:31:00,2155,15,chatelet,1
12325335501078872,10:04:00,10:04:00,2155,15,chatelet,1
12325335511078872,14:52:00,14:52:00,2155,15,chatelet,1
12325335521078872,10:11:00,10:11:00,2155,15,chatelet,1
12325335531078872,11:23:00,11:23:00,2155,15,chatelet,1
